Customer ID,Name,Age,Age Group,Gender,Region,Product Category,Product ID,Purchase Date, Amount ,Amt_Bin,Total Amount 
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Electronics,1b97b8aa-a12c-4096-8938-d547ab22caab,2024-08-26, ₹ 356.84 ,301-400," ₹ 69,46,865.41 "
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Books,dcaf1098-8a8c-45bd-bab9-3f5584aae619,2021-03-09, ₹ 484.99 ,401-500,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Toys,7488345f-7f13-49db-a9f8-316fe836d937,2024-02-12, ₹ 443.22 ,401-500,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Home & Kitchen,e671ae13-5e00-43c3-aaf9-363e5ff01f53,2020-12-31, ₹ 29.72 ,0-100,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Toys,8cd4f9f2-7682-425b-b796-d78cc982fcd8,2023-12-25, ₹ 256.87 ,201-300,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Fashion,501fcec8-9abf-4a5e-a299-dae45af51c54,2023-05-06, ₹ 201.90 ,201-300,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Books,9ccf137c-6ef0-476b-8aa0-3c99e00897e4,2023-06-07, ₹ 260.82 ,201-300,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Books,790ff712-1252-4d8a-b004-2f3c75244507,2022-04-12, ₹ 183.98 ,101-200,
926b8454-d2d8-4b55-b66c-2faf6f993811,Tommy Anderson,64,56-65,Male,East,Toys,2142f120-2ca6-4726-9f41-1ceab0b6084a,2020-04-02, ₹ 362.43 ,301-400,
0670d360-e376-4af4-8d89-4edbdf2e328c,Ronald Dennis,25,18-25,Male,East,Electronics,"
1f7581ae-256c-4345-982c-503e9f4f5d20",2020-04-01, ₹ 447.68 ,401-500,
0670d360-e376-4af4-8d89-4edbdf2e328c,Ronald Dennis,25,18-25,Male,East,Home & Kitchen,e8d5d63c-fecd-48b8-9b4e-b359dc889298,2024-02-20, ₹ 379.06 ,301-400,
0670d360-e376-4af4-8d89-4edbdf2e328c,Ronald Dennis,25,18-25,Male,East,Toys,18cde8a8-f836-4c4d-bc77-68c569909e9f,2022-12-05, ₹ 215.19 ,201-300,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Electronics,0b1f61e7-c32f-4cfa-86a0-73916b554d07,2021-08-19, ₹ 288.85 ,201-300,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Home & Kitchen,f773f429-1ce3-4f65-981c-ecc7d025e158,2023-12-07, ₹ 382.07 ,301-400,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Books,d63d3b77-498e-4341-9e29-a1d5426234d5,2023-08-23, ₹ 362.71 ,301-400,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Home & Kitchen,0a21d3a5-d1d8-4a7e-81aa-313b7b0c0cf3,2020-04-20, ₹ 140.40 ,101-200,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Fashion,c31cef4a-ef96-4f94-8387-8a37982bfb49,2022-02-22, ₹ 412.78 ,401-500,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Fashion,1cbcb8e0-0427-41c2-b83d-23c4ad864d32,2024-08-11, ₹ 360.46 ,301-400,
7010a411-7656-4e9d-bcf7-53d614292774,Rachel Jackson,20,18-25,Female,East,Fashion,cfa6f058-71e8-4f79-8660-1b66d22a0b29,2023-10-05, ₹ 61.02 ,0-100,
